tmdb_id,title,release_date,genres,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,tagline,overview,cast_names,cast_ids,release_year
140823,Saving Mr. Banks,2013-11-29,Comedy|Drama|History,35000000,112544580,126,2.1777,7.3,3464,en,"Where her book ended, their story began.","Author P.L. Travers looks back on her childhood while reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",Emma Thompson|Tom Hanks|Colin Farrell|Paul Giamatti|Ruth Wilson,7056|31|72466|13242|47720,2013
9753,Three,2005-11-16,Adventure|Drama|Thriller,9000000,0,95,5.8424,5.6,283,en,Looks can kill,"After a yachting accident, a millionaire and his wife are shipwrecked on a desert island along with their former deckhand, Manuel.",Billy Zane|Kelly Brook|Juan Pablo Di Pace|Todd Collins|Gabrielle Jourdan,1954|38561|58970|58971|58972,2005
9754,Firewall,2006-02-08,Action|Crime|Thriller,45000000,82800000,105,2.7,5.8,1020,en,Nothing is more dangerous than a man with everything to lose.,"State-of-the-art security system creator Jack Stanfield has cemented his reputation as a man who's thought of everything. But when a criminal finds a way into his personal life, everything Jack holds dear is suddenly at stake.",Harrison Ford|Paul Bettany|Virginia Madsen|Carly Schroeder|Jimmy Bennett,3|6162|12519|58899|6860,2006
9757,Norbit,2007-02-08,Comedy,10000000,159814490,102,8.1553,5.667,2569,en,Have you ever made a really big mistake?,"A mild-mannered guy who is engaged to a monstrous woman meets the woman of his dreams, and schemes to find a way to be with her.",Eddie Murphy|Thandiwe Newton|Terry Crews|Clifton Powell|Lester Speight,776|9030|53256|58924|58925,2007
9759,Cellular,2004-09-06,Action|Thriller|Drama|Crime,25000000,57678321,94,3.4778,6.4,2062,en,If the signal dies so does she.,A young man receives an emergency phone call on his cell phone from an older woman. She claims to have been kidnapped – and the kidnappers have targeted her husband and child next.,Kim Basinger|Chris Evans|Jason Statham|William H. Macy|Noah Emmerich,326|16828|976|3905|11315,2004
9760,Epic Movie,2007-01-25,Comedy|Adventure|Fantasy,20000000,87238158,85,3.3947,3.868,1661,en,We know it's big. We measured.,"When the Pevensie siblings each follow their own path, they find themselves at Willy's Chocolate Factory. Walking through a wardrobe, they discover the world of Gnarnia, ruled by the White Bitch. Meeting up with characters such as Harry Potter and Captain Jack Swallows, the newly reunited family must team up with Aslo, a wise-but-horny lion to stop the White Bitch's army.",Kal Penn|Adam Campbell|Jennifer Coolidge|Jayma Mays|Faune Chambers Watkins,53493|58952|38334|34195|58953,2007
9762,Step Up,2006-08-11,Music|Drama|Romance|Crime,12000000,114197742,104,4.1589,6.9,3867,en,Every second chance begins with a first step.,"Delinquent Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with up-and-coming dancer Nora.",Channing Tatum|Jenna Dewan|Damaine Radcliff|Rachel Griffiths|Deirdre Lovejoy,38673|20381|58959|3052|58966,2006
9763,Goal!,2005-09-29,Drama,10000000,27610873,118,3.2273,6.764,1192,en,Every dream has a beginning.,"Like millions of kids around the world, Santiago harbors the dream of being a professional footballer... However, living in the Barrios section of Los Angeles, he thinks it is only that—a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United.",Kuno Becker|Alessandro Nivola|Anna Friel|Stephen Dillane|Gary Lewis,58982|4941|58016|8435|480,2005
632357,The Unholy,2021-03-31,Horror|Mystery,10000000,30832137,99,3.464,6.555,2244,en,Be careful who you pray to.,"Alice is a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",Jeffrey Dean Morgan|Cricket Brown|William Sadler|Katie Aselton|Cary Elwes,47296|2067034|6573|221944|2130,2021
9766,Gridiron Gang,2006-09-15,Crime|Drama,30000000,41500000,125,2.7853,7.045,1073,en,One goal. A second chance.,"Under the leadership of their counselor, teenagers at a juvenile detention center gain self-esteem by playing football together. Based on a true story.",Dwayne Johnson|Xzibit|L. Scott Caldwell|Leon Rippy|Kevin Dunn,18918|336|29051|15374|14721,2006
