tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm
11458,People I Know,2002-11-21,2002,11,Drama|Thriller,Drama,Al Pacino|Kim Basinger|Ryan O'Neal|Téa Leoni|Richard Schiff,1158|326|31070|4939|31028,20000000.0,5484302.0,100,1.6881,5.231,180,7.544028037781669,6.98211938438351,0.02083767451552407,0.001874097916056893
11459,Sky High,2005-07-29,2005,7,Adventure|Comedy|Family,Adventure,Michael Angarano|Mary Elizabeth Winstead|Kurt Russell|Kelly Preston|Danielle Panabaker,11665|17628|6856|11164|31838,35000000.0,86369815.0,99,4.5774,6.257,2438,7.751395008181188,8.143688951659104,0.05209418628881017,0.029539550806314218
11460,Red Eye,2005-08-10,2005,8,Thriller|Mystery,Thriller,Rachel McAdams|Cillian Murphy|Brian Cox|Jayma Mays|Jack Scalia,53714|2037|1248|34195|58792,26000000.0,57891803.0,85,3.1865,6.4,2494,7.622300313578238,7.969944037094287,0.03334027922483851,0.019799152678479103
240832,Lucy,2014-07-25,2014,7,Action|Science Fiction,Action,Scarlett Johansson|Morgan Freeman|Choi Min-sik|Amr Waked|Julian Rhind-Tutt,1245|192|64880|2960|7031,40000000.0,469058574.0,89,11.6887,6.473,16953,7.725890937506656,8.795058026599946,0.0625130235465722,0.16043144282838173
11467,America's Sweethearts,2001-07-17,2001,7,Comedy|Romance,Comedy,Julia Roberts|John Cusack|Catherine Zeta-Jones|Billy Crystal|Hank Azaria,1204|3036|1922|7904|5587,64400000.0,138191428.0,102,1.5355,5.7,883,8.058696512502129,8.390291747862026,0.11335694936445093,0.04726421298591424
11468,The Salton Sea,2002-02-12,2002,2,Crime|Drama|Mystery|Thriller,Crime,Val Kilmer|Vincent D'Onofrio|Adam Goldberg|Luis Guzmán|Doug Hutchison,5576|7132|6163|40481|6806,18000000.0,1073198.0,103,1.7694,6.587,355,7.498270541705635,6.273677781028773,0.016670139612419255,0.0003653581506798021
11469,Black Knight,2001-11-21,2001,11,Comedy|Fantasy|Adventure,Comedy,Martin Lawrence|Marsha Thomason|Tom Wilkinson|Jeannette Weegar|Vincent Regan,78029|36219|207|1535298|9831,50000000.0,33422806.0,95,3.7703,5.354,1176,7.948780649690795,7.773853550723206,0.08335069806209627,0.01142996691618632
11470,Jason X,2001-11-09,2001,11,Horror|Science Fiction,Horror,Kane Hodder|Jeff Geddis|Lexa Doig|David Cronenberg|Markus Parilo,62596|166495|69574|224|180916,11000000.0,17077882.0,91,2.945,4.8,1491,7.291203338509197,7.482244658608059,0.002083767451552407,0.005839476009405074
11478,The Skulls,2000-03-31,2000,3,Crime|Drama|Thriller,Crime,Joshua Jackson|Paul Walker|Hill Harper|Leslie Bibb|Christopher McDonald,11866|8167|57686|57451|4443,15000000.0,50802120.0,106,1.7469,5.8,588,7.438087311606939,7.967877895959,0.010418837257762034,0.017374252547804798
44264,True Grit,2010-12-22,2010,12,Drama|Adventure|Western,Drama,Jeff Bridges|Hailee Steinfeld|Matt Damon|Josh Brolin|Barry Pepper,1229|130640|1892|16851|12834,38000000.0,252300000.0,110,4.5633,7.305,5697,7.739157137708141,8.561290790184067,0.05834548864346739,0.08629302304044818
11499,Frost/Nixon,2008-10-15,2008,10,Drama|History,Drama,Frank Langella|Michael Sheen|Kevin Bacon|Rebecca Hall|Toby Jones,8924|3968|4724|15556|13014,25000000.0,27426335.0,122,2.0744,7.281,1286,7.562925188814824,7.603152950122252,0.0312565117732861,0.009378980530548954
404733,Overdrive,2017-06-16,2017,6,Thriller|Action|Mystery,Thriller,Scott Eastwood|Freddie Thorp|Ana de Armas|Gaia Weiss|Clemens Schick,928572|1537784|224513|1165384|213596,28210303.0,11247280.0,93,2.5955,6.1,1002,7.559093650159633,7.159733390348928,0.03794603667430715,0.0038452221687594675
11523,View from the Top,2003-03-21,2003,3,Comedy|Romance|Drama,Comedy,Gwyneth Paltrow|Christina Applegate|Mark Ruffalo|Candice Bergen|Joshua Malina,12052|18979|103|11850|131642,30000000.0,19526014.0,87,1.8006,5.5,594,7.710332638847287,7.523824983796634,0.04167534903104814,0.006676816071959062
11529,Sweet Home Alabama,2002-09-26,2002,9,Comedy|Romance,Comedy,Reese Witherspoon|Josh Lucas|Patrick Dempsey|Candice Bergen|Mary Kay Place,368|6164|18352|11850|5960,30000000.0,180622424.0,108,3.4316,6.418,1682,7.72011929683735,8.499769708903543,0.04167534903104814,0.06177698143339503
11531,Book of Shadows: Blair Witch 2,2000-10-27,2000,10,Horror|Mystery,Horror,Kim Director|Jeffrey Donovan|Erica Leerhsen|Tristine Skyler|Stephen Barker Turner,4889|52886|57514|69748|69750,15000000.0,47737094.0,90,2.3845,4.345,913,7.438087311606939,7.940852037013202,0.010418837257762034,0.016325914850911984
11535,Rollerball,2002-02-08,2002,2,Action|Science Fiction|Thriller,Action,Chris Klein|LL Cool J|Rebecca Romijn|Naveen Andrews|Jean Reno,21594|36424|11008|5471|1003,70000000.0,25852764.0,98,1.5534,3.9,506,8.088096082131944,7.655505028283111,0.1250260470931444,0.008840768522547284
11544,Lilo & Stitch,2002-06-21,2002,6,Animation|Family|Comedy,Animation,Daveigh Chase|Chris Sanders|Tia Carrere|David Ogden Stiers|Kevin McDonald,1580|66193|13445|28010|58955,80000000.0,273144151.0,85,7.7363,7.559,7033,8.146088029109631,8.67938994688375,0.14586372160866848,0.0934223946193601
11559,Tideland,2005-10-13,2005,10,Fantasy|Drama|Thriller,Fantasy,Jodelle Ferland|Janet McTeer|Brendan Fletcher|Jennifer Tilly|Jeff Bridges,8338|47627|32205|7906|1229,12000000.0,566611.0,120,2.8265,6.51,608,7.2865082047464025,5.96061203107878,0.004167534903104814,0.00019208906622314808
11560,High Crimes,2002-04-05,2002,4,Drama|Mystery|Thriller|Crime,Drama,Ashley Judd|Morgan Freeman|Jim Caviezel|Amanda Peet|Adam Scott,15852|192|8767|2956|36801,42000000.0,63781810.0,115,2.7023,6.3,863,7.866247334879313,8.047694882104112,0.06668055844967702,0.02181372494411814
568620,Snake Eyes: G.I. Joe Origins,2021-07-22,2021,7,Action|Adventure,Action,Henry Golding|Andrew Koji|Haruka Abe|Úrsula Corberó|Samara Weaving,1807132|1658375|1168128|1042728|1372369,88000000.0,36964325.0,121,4.4081,6.5,1696,8.009702870716831,7.633002975827682,0.16253386122108773,0.012641280579418587
11565,Big Momma's House 2,2006-01-26,2006,1,Comedy|Crime,Comedy,Martin Lawrence|Marisol Nichols|Kevin Durand|Dan Lauria|Kat Dennings,78029|84457|79072|29774|52852,40000000.0,141522961.0,99,3.0254,5.77,1681,7.795598670176583,8.344365584388305,0.0625130235465722,0.04840370466798885
437557,Blockers,2018-03-14,2018,3,Comedy,Comedy,Leslie Mann|John Cena|Ike Barinholtz|Kathryn Newton|Geraldine Viswanathan,41087|56446|198150|221192|1803287,21000000.0,94017294.0,102,3.663,6.306,2114,7.420401785840534,8.071390240131512,0.022921441967076475,0.032155235150230436
830784,"Lyle, Lyle, Crocodile",2022-10-07,2022,10,Comedy|Family|Music,Comedy,Shawn Mendes|Winslow Fegley|Javier Bardem|Constance Wu|Scoot McNairy,1613304|2115854|3810|206444|59233,50000000.0,111080122.0,106,2.3029,7.0,648,7.730576485961027,8.077242832270711,0.08335069806209627,0.03799127236753242
830788,The Invitation,2022-08-24,2022,8,Horror|Thriller,Horror,Nathalie Emmanuel|Thomas Doherty|Sean Pertwee|Hugh Skinner|Carol Ann Crawford,1251069|1729496|28848|1206337|1650581,10000000.0,33628000.0,105,2.5564,5.995,953,7.031606497777436,7.558307526815158,0.0,0.01150014987886795
