tmdb_id,title,release_date,release_year,release_month,genres,primary_genre,cast_names,cast_ids,budget,revenue,runtime,popularity,vote_average,vote_count,budget_log,revenue_log,budget_norm,revenue_norm,budget_adj,revenue_adj,est_profit_adj,profit_margin,revenue_ratio,actor_prestige_score,prestige_tier,budget_tier,outcome_label,release_window,marketing_ratio,est_marketing_budget
13778,Dickie Roberts: Former Child Star,2003-09-04,2003,9,Comedy,Comedy,David Spade|Mary McCormack|Jon Lovitz|Craig Bierko|Alyssa Milano,60950|1980|16165|14886|24967,17000000.0,23769505.0,98,1.5102,5.107,206,7.463660303017197,7.609231520392338,0.014586372160866848,0.008128226788124403,29084413.0,40666006.0,-10231716.75,-0.20102503996605625,1.398,8.091058073331393,Established,Low,Flop,Off-season,0.75,12750000.0
406997,Wonder,2017-11-13,2017,11,Family|Drama,Family,Jacob Tremblay|Julia Roberts|Owen Wilson|Izabela Vidovic|Noah Jupe,1277188|1204|887|1109976|1590759,20000000.0,315025930.0,113,8.7553,8.107,8217,7.409715887971286,8.607032196375288,0.02083767451552407,0.10774731314815361,25687148.0,404605886.0,359653377.0,8.000740893016673,15.751,7.985275651739058,Rising,Low,Blockbuster,Holiday,0.75,15000000.0
13788,The Unborn,2009-01-09,2009,1,Horror|Thriller|Mystery,Horror,Odette Annable|Cam Gigandet|Gary Oldman|Idris Elba|James Remar,51992|55086|64|17605|1736,16000000.0,76514050.0,87,2.5701,5.178,1422,7.370721896735729,8.050343100724392,0.012502604709314441,0.026168561463575588,23481287.0,112290522.0,71198269.75,1.7326446191568874,4.782,7.906735826101992,Unknown,Low,Hit,Off-season,0.75,12000000.0
13805,Disaster Movie,2008-08-29,2008,8,Comedy|Science Fiction,Comedy,Matt Lanter|Vanessa Lachey|Gary 'G. Thang' Johnson|Nicole Parker|Crista Flanagan,34202|20404|1114053|211662|58957,25000000.0,34816824.0,87,1.9037,3.203,1121,7.562925188814824,7.706774330793115,0.0312565117732861,0.011906766010075615,36553182.0,50906628.0,-13061440.5,-0.20418688271008215,1.393,8.065400386698386,Established,Low,Flop,Summer,0.75,18750000.0
13809,RocknRolla,2008-09-04,2008,9,Action|Crime|Thriller,Action,Gerard Butler|Tom Wilkinson|Thandiwe Newton|Mark Strong|Idris Elba,17276|207|9030|2983|17605,18000000.0,25740863.0,114,3.6983,6.953,3255,7.420257684586027,7.575608283276472,0.016670139612419255,0.008802494773280557,26318291.0,37636418.0,-8420591.25,-0.18282974485582779,1.43,8.166719975360044,A-list,Low,Flop,Off-season,0.75,13500000.0
13811,Knowing,2009-03-19,2009,3,Action|Mystery|Science Fiction|Thriller,Action,Nicolas Cage|Rose Byrne|Chandler Canterbury|Ben Mendelsohn|Nadia Townsend,2963|9827|77334|77335|77336,50000000.0,155446362.0,121,5.3745,6.2,5737,7.865571913237127,8.358182470916846,0.08335069806209627,0.05316595664799004,73379021.0,228130037.0,110723603.39999999,0.9430795230287958,3.109,8.01973727522564,Rising,Mid,Hit,Off-season,0.6,30000000.0
13812,Quarantine,2008-10-10,2008,10,Horror|Science Fiction|Thriller,Horror,Dania Ramirez|Jennifer Carpenter|Jay Hernandez|Steve Harris|Greg Germann,37046|53828|19487|2202|19974,12000000.0,40855419.0,89,2.1118,5.784,1360,7.244166417279535,7.776234844217264,0.004167534903104814,0.013972160161632066,17545527.0,59735822.0,29031149.75,0.9454961614188864,3.405,6.936186376160667,Unknown,Low,Hit,Off-season,0.75,9000000.0
13813,Defiance,2008-12-31,2008,12,Action|Drama|History|War,Action,Daniel Craig|Liev Schreiber|Jamie Bell|Alexa Davalos|Allan Corduner,8784|23626|478|28109|78018,32000000.0,51155219.0,137,3.2311,6.8,1875,7.670135149551816,7.873875121351031,0.04584288393415295,0.017495023788386497,46788072.0,74795440.0,-7083686.0,-0.08651394251570296,1.599,8.215796219616342,A-list,Low,Flop,Holiday,0.75,24000000.0
13836,Race to Witch Mountain,2009-03-13,2009,3,Adventure|Family|Fantasy|Science Fiction|Thriller|Action,Adventure,Dwayne Johnson|AnnaSophia Robb|Alexander Ludwig|Carla Gugino|Ciarán Hinds,18918|1285|23498|17832|8785,50000000.0,106387141.0,98,2.4159,5.8,1803,7.865571913237127,8.193491046715785,0.08335069806209627,0.03638612158150263,73379021.0,156131685.0,38725251.39999999,0.32983926189203305,2.128,8.131148538162682,Established,Mid,Break-even,Off-season,0.6,30000000.0
177677,Mission: Impossible - Rogue Nation,2015-07-28,2015,7,Action|Adventure,Action,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,500|17604|11108|933238|10182,150000000.0,682716636.0,131,6.9938,7.222,9637,8.299372119033066,8.957521344751077,0.2917274432173369,0.2335093875634875,199237975.0,906820532.0,607963569.5,2.034296154301575,4.551,8.247091672170152,A-list,High,Hit,Summer,0.5,75000000.0
